epoch;loss;val_loss
0;0.1093089550695553;0.044340129181438565
1;0.03722364978142539;0.02888527748231985
2;0.027167935532574752;0.022494771764898787
3;0.02273758840081947;0.02043575793504715
4;0.02018359079196745;0.01797077188990554
5;0.018556692856078853;0.01726821711172863
6;0.016976070652088643;0.017276783245710695
7;0.016113717574626207;0.017488350426512107
8;0.01560321651703241;0.016672172108475044
9;0.014645346744480182;0.015259010660253008
10;0.014171994495566706;0.015958242555510024
11;0.013848075975797005;0.014281365013092148
12;0.013186818311865233;0.022794124081122632
13;0.012933020128355342;0.012630079910919374
14;0.012623963103040444;0.013419192094279796
15;0.012320223981894704;0.012029571743796066
16;0.012231652762702837;0.011590356615429022
17;0.01174258956286524;0.011312467160121518
18;0.011660514613233355;0.011070891169413013
19;0.011400509378587713;0.010818634068175239
20;0.011118436840419866;0.01072133476940953
21;0.01107065510765022;0.010810388936376085
22;0.011018131631521546;0.010716192234231502
23;0.010769922561867505;0.012518081205840014
24;0.010859140594090735;0.010816171176123376
25;0.010446832600828945;0.01024609771842251
26;0.010345129985172225;0.01054005338145154
27;0.010215971630769876;0.010361388344697806
28;0.010168858965364645;0.010155961829788831
29;0.010076859847129303;0.0102874274954808
