epoch,loss,val_loss
396,0.003771454,0.003651573
383,0.003800037,0.003697892
394,0.003843658,0.003700484
392,0.00381353,0.003700772
373,0.003905679,0.003707289
399,0.003762711,0.003709386
371,0.003814261,0.003721045
303,0.00393832,0.003724725
310,0.003917127,0.003729179
395,0.003801516,0.003729958
486,0.003912361,0.003732169
397,0.003772012,0.00373408
384,0.003788297,0.003737154
369,0.00386352,0.003747826
290,0.003973697,0.003752251
296,0.003950436,0.003752494
495,0.003960507,0.003756204
289,0.003961964,0.003762074
475,0.003968544,0.00376272
492,0.003864334,0.003770991
476,0.003940313,0.003772099
443,0.00394847,0.003772849
317,0.003884504,0.00377327
367,0.0038745,0.003777387
375,0.003843435,0.003786228
301,0.003913045,0.003788472
342,0.003875613,0.003792043
487,0.003886463,0.00379612
453,0.003958201,0.003796282
494,0.003879635,0.003799136
398,0.003777838,0.003799689
477,0.003924104,0.003801247
347,0.00385012,0.00380319
370,0.00387587,0.003807837
314,0.003942122,0.003810889
454,0.003918052,0.003820168
302,0.003923931,0.003821656
391,0.00385018,0.003827257
376,0.003837283,0.003831305
377,0.003828824,0.003831307
249,0.004065081,0.003835183
352,0.003861064,0.003836631
319,0.003923445,0.003837554
306,0.00394413,0.003839275
297,0.00397425,0.003839537
381,0.003787659,0.003840208
288,0.004003202,0.003840425
388,0.00389508,0.003844687
291,0.00395371,0.003846858
284,0.004015382,0.003846878
185,0.004146621,0.003847809
345,0.003834083,0.003848613
320,0.003892575,0.003849515
493,0.003873263,0.003856342
426,0.004060834,0.003858984
365,0.003983611,0.003864555
293,0.003972097,0.003864566
366,0.003988868,0.003867144
203,0.004050689,0.003867816
429,0.004109147,0.003873567
473,0.004020316,0.003880088
452,0.003932145,0.0038802
350,0.003878369,0.00388102
262,0.004021906,0.003892692
489,0.003950372,0.003893437
316,0.003938817,0.003893949
474,0.003942769,0.003899962
488,0.003907848,0.003902445
389,0.003871461,0.003902475
198,0.004138826,0.003904205
318,0.003960407,0.003904985
387,0.004016997,0.003905942
442,0.003955244,0.003907477
192,0.004147609,0.003908086
214,0.004037474,0.003908915
332,0.004044316,0.003910178
374,0.003837113,0.003911711
382,0.00379087,0.003913307
497,0.003864099,0.003913637
431,0.004049837,0.003916226
354,0.003886892,0.003918782
363,0.004013728,0.003921168
311,0.003896811,0.003925246
344,0.003857476,0.003925622
295,0.003935155,0.003926672
312,0.003967061,0.003929562
201,0.004121037,0.003930025
472,0.004026905,0.003931069
250,0.004135468,0.003931128
237,0.004147963,0.0039325
378,0.003780311,0.003935203
307,0.003976319,0.003938414
217,0.004093768,0.003939195
251,0.00400099,0.003939275
491,0.00387818,0.00394009
343,0.003925169,0.003940174
420,0.004186774,0.003940563
425,0.00406402,0.003941579
240,0.004137583,0.003943415
234,0.004237443,0.003946255
315,0.00394965,0.003947188
423,0.004151953,0.003947218
448,0.003974607,0.003947922
496,0.003896727,0.00394842
200,0.004178988,0.003950167
267,0.004077851,0.003950483
216,0.004035959,0.003952783
368,0.003873923,0.003955289
247,0.004088803,0.003955777
438,0.004070029,0.003955969
